Date,Open,High,Low,Close,Adj Close,Volume
2022-08-15,21.240000,21.969999,20.799999,21.780001,21.565914,48991600
2022-08-16,21.480000,21.740000,20.389999,21.139999,20.932205,48777200
2022-08-17,20.180000,20.200001,18.709999,19.549999,19.357834,67988800
2022-08-18,19.719999,21.360001,19.500000,20.889999,20.684662,50790800
2022-08-19,20.059999,20.379999,18.889999,19.170000,18.981569,49700800
2022-08-22,18.100000,18.150000,16.770000,17.040001,16.872509,51389400
2022-08-23,17.080000,18.059999,17.010000,17.330000,17.159658,49723200
2022-08-24,17.250000,17.590000,16.770000,17.410000,17.238871,42087500
2022-08-25,17.459999,19.379999,17.420000,19.320000,19.130095,58659800
2022-08-26,19.250000,19.330000,15.950000,15.980000,15.822927,84676900
2022-08-29,15.480000,16.049999,14.950000,15.050000,14.902067,61062700
2022-08-30,15.500000,15.570000,13.960000,14.470000,14.327769,77063100
2022-08-31,14.690000,14.700000,13.660000,14.040000,13.901995,86870500
2022-09-01,13.030000,13.260000,11.970000,13.220000,13.090055,113345600
2022-09-02,13.840000,14.140000,12.630000,12.860000,12.733594,100737200
2022-09-06,12.910000,13.030000,12.070000,12.420000,12.297919,79919100
2022-09-07,12.420000,13.320000,12.230000,12.990000,12.862315,79632700
2022-09-08,12.640000,13.800000,12.370000,13.650000,13.515829,103258300
2022-09-09,14.260000,14.850000,14.190000,14.650000,14.506000,81908900
2022-09-12,14.830000,15.050000,14.300000,14.780000,14.634721,67153300
2022-09-13,13.150000,13.490000,11.950000,12.090000,11.971163,85975600
2022-09-14,12.280000,12.740000,11.940000,12.460000,12.337524,65846900
2022-09-15,12.230000,12.670000,11.590000,11.910000,11.792932,94630600
2022-09-16,11.470000,12.100000,11.180000,12.060000,11.941459,87622100
2022-09-19,11.620000,12.440000,11.570000,12.260000,12.139492,75532200
2022-09-20,11.850000,12.040000,11.430000,11.700000,11.622917,70577400
2022-09-21,11.760000,12.920000,11.380000,11.400000,11.324894,125021300
2022-09-22,11.170000,11.320000,10.250000,10.510000,10.440758,112096100
2022-09-23,10.070000,10.140000,9.450000,10.030000,9.963920,120047000
2022-09-26,9.910000,10.360000,9.500000,9.550000,9.487082,96464800
2022-09-27,10.040000,10.280000,9.390000,9.810000,9.745370,115839400
2022-09-28,9.570000,10.350000,9.450000,10.170000,10.102998,119412700
2022-09-29,9.700000,9.740000,8.800000,9.290000,9.228795,128122600
2022-09-30,8.900000,9.610000,8.740000,8.860000,8.801627,109534300
2022-10-03,9.090000,10.000000,8.880000,9.700000,9.636095,126786100
2022-10-04,10.580000,11.100000,10.540000,11.040000,10.967266,114533100
2022-10-05,10.530000,11.660000,10.210000,11.420000,11.344762,110030200
2022-10-06,11.290000,11.920000,11.050000,11.190000,11.116278,117138000
2022-10-07,10.180000,10.280000,9.000000,9.210000,9.149323,134873300
2022-10-10,9.070000,9.090000,7.860000,8.280000,8.225449,163448700
2022-10-11,7.810000,8.020000,7.200000,7.570000,7.520127,186475200
2022-10-12,7.490000,7.620000,7.230000,7.340000,7.291643,110516500
2022-10-13,6.420000,8.360000,6.210000,8.000000,7.947294,284532700
2022-10-14,8.260000,8.270000,6.870000,6.930000,6.884343,177216100
2022-10-17,7.470000,7.670000,7.200000,7.330000,7.281708,113321500
2022-10-18,8.040000,8.210000,7.040000,7.400000,7.351247,185506400
2022-10-19,7.270000,7.800000,7.200000,7.570000,7.520127,134272400
2022-10-20,7.700000,8.420000,7.590000,7.700000,7.649270,170614600
2022-10-21,7.650000,8.640000,7.550000,8.580000,8.523472,178616600
2022-10-24,8.640000,8.810000,8.080000,8.680000,8.622814,147205700
2022-10-25,8.800000,9.470000,8.750000,9.260000,9.198994,127146900
2022-10-26,8.740000,9.670000,8.550000,9.010000,8.950641,143571600
2022-10-27,9.160000,9.440000,8.480000,8.520000,8.463868,129662300
2022-10-28,8.560000,9.560000,8.490000,9.500000,9.437412,129291600
2022-10-31,9.300000,9.350000,8.750000,8.920000,8.861233,118351000
